City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Sanandaj,IR,35.3144,46.9923,55.22,42,0,2.68,clear sky
134,Anloga,GH,5.7947,0.8973,81.5,86,64,14.52,broken clouds
135,Husavik,IS,66.0449,-17.3389,41.49,97,100,6.06,overcast clouds
136,Cabo San Lucas,MX,22.8909,-109.9124,87.1,56,20,9.22,few clouds
137,Iqaluit,CA,63.7506,-68.5145,25.7,86,100,8.01,overcast clouds
138,Ahipara,NZ,-35.1667,173.1667,65.88,94,100,16.44,moderate rain
139,Paita,PE,-5.0892,-81.1144,67.69,81,94,12.59,overcast clouds
140,Port Elizabeth,ZA,-33.918,25.5701,68.31,70,100,7.0,overcast clouds
141,Talnakh,RU,69.4865,88.3972,31.21,92,100,6.98,light snow
142,Inongo,CD,-1.95,18.2667,70.59,96,95,1.86,light rain
143,Castro,BR,-24.7911,-50.0119,43.88,89,100,11.88,overcast clouds
144,Bandarbeyla,SO,9.4942,50.8122,82.27,68,92,19.3,overcast clouds
145,Port Macquarie,AU,-31.4333,152.9167,65.89,48,19,7.47,few clouds
146,Arraial Do Cabo,BR,-22.9661,-42.0278,65.91,58,3,16.44,clear sky
147,Ust-Maya,RU,60.4167,134.5333,48.88,60,94,5.26,overcast clouds
148,Quatre Cocos,MU,-20.2078,57.7625,73.51,73,29,15.68,scattered clouds
149,Salalah,OM,17.0151,54.0924,80.69,83,20,2.3,few clouds
150,Leningradskiy,RU,69.3833,178.4167,34.7,99,100,1.79,overcast clouds
151,Pevek,RU,69.7008,170.3133,32.14,99,100,2.75,light snow
152,Gat,IL,31.61,34.7642,68.4,81,0,2.06,clear sky
153,Butaritari,KI,3.0707,172.7902,81.66,72,100,12.46,overcast clouds
154,Bontang,ID,0.1333,117.5,79.38,87,100,0.76,overcast clouds
155,Biak,ID,-0.9131,122.8766,77.59,87,100,4.74,overcast clouds
156,Esperance,AU,-33.8667,121.9,61.38,79,65,10.4,broken clouds
157,Airai,TL,-8.9266,125.4092,69.85,67,100,4.05,overcast clouds
158,Suntar,RU,62.1444,117.6319,43.7,96,100,8.05,heavy intensity rain
159,Chino Valley,US,34.7575,-112.4538,85.51,11,0,11.5,clear sky
160,Inirida,CO,3.8653,-67.9239,72.55,99,100,1.92,overcast clouds
161,Nampa,US,43.5407,-116.5635,77.11,30,20,8.05,few clouds
162,Sur,OM,22.5667,59.5289,86.49,40,0,10.42,clear sky
163,Ancud,CL,-41.8697,-73.8203,48.88,89,100,4.0,overcast clouds
164,Carberry,CA,49.8689,-99.3602,45.52,93,100,5.84,overcast clouds
165,Tual,ID,-5.6667,132.75,82.99,75,63,12.08,broken clouds
166,Itarema,BR,-2.9248,-39.9167,78.8,89,100,7.96,overcast clouds
167,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,34,9.86,scattered clouds
168,Avarua,CK,-21.2078,-159.775,78.37,77,27,12.95,scattered clouds
169,Sisimiut,GL,66.9395,-53.6735,37.47,60,0,8.88,clear sky
170,Carauari,BR,-4.8828,-66.8958,70.09,86,100,2.75,overcast clouds
171,Meulaboh,ID,4.1363,96.1285,78.87,81,100,2.82,overcast clouds
172,Dalby,AU,-27.1833,151.2667,68.94,62,70,7.74,broken clouds
173,Pelotas,BR,-31.7719,-52.3425,54.86,96,100,5.99,overcast clouds
174,Plouzane,FR,48.3833,-4.6167,53.92,97,0,5.75,clear sky
175,College,US,64.8569,-147.8028,62.58,35,75,5.75,broken clouds
176,Antsohihy,MG,-14.8796,47.9875,69.93,66,10,9.84,clear sky
177,Bengkulu,ID,-3.8004,102.2655,78.94,79,51,3.04,broken clouds
178,Gazli,UZ,40.1333,63.45,71.29,25,0,17.38,clear sky
179,Vigrestad,NO,58.5667,5.7,49.96,92,100,5.01,overcast clouds
180,Zhuzhou,CN,27.8333,113.15,63.5,89,100,5.1,overcast clouds
181,Ciudad Bolivar,VE,8.1222,-63.5497,84.07,55,100,10.67,overcast clouds
182,Chokurdakh,RU,70.6333,147.9167,30.97,92,100,6.67,overcast clouds
183,Martapura,ID,-3.4167,114.85,82.49,78,20,10.36,few clouds
184,Gushikawa,JP,26.3544,127.8686,78.39,69,75,17.27,broken clouds
185,Buribay,RU,51.9617,58.1592,44.17,90,95,16.35,overcast clouds
186,Mpophomeni,ZA,-29.5682,30.1862,50.63,70,2,5.7,clear sky
187,Mayo,US,38.8876,-76.5119,67.3,73,0,10.36,clear sky
188,Syracuse,IT,37.0881,15.2792,63.32,60,0,6.24,clear sky
189,Morong,PH,14.5115,121.2393,87.15,79,100,8.61,overcast clouds
190,Broken Hill,AU,-31.95,141.4333,54.99,53,100,9.8,light rain
191,Mitu,CO,1.1983,-70.1733,70.09,99,100,3.42,overcast clouds
192,Baghdad,IQ,33.3406,44.4009,76.91,27,0,4.61,clear sky
